ID	lda_sim-max	lda_sim-min	lda_sim-avg	maxsim_15_skip	maxsim_30_skip	maxsim_50_skip	maxsim_15_cbw	maxsim_30_cbw	maxsim_50_cbw	ppl-ref	ppl-ref_pos	ppl-ref_prod	ppl-ref_dep	ppl-prompt	ppl-prompt_pos	ppl-correct	ppl-correct_pos	ppl-correct_prod	ppl-correct_dep	ppl-ge	ppl-ge_pos	ppl-incorrect	ppl-incorrect_pos	ppl-incorrect_prod	ppl-incorrect_dep	ngram_match	ngram_match-lem	ngram_unseen-1	ngram_unseen-2	ngram_unseen-3	error_yn	error_count	error_ratio	parse_score-ratio	length_ratio	length_01	length_under-min	length_above-max	length_unknown	length_unknown-ratio	length_sounds	length_sounds-ratio	prompt_missing	prompt_missing-pct	prompt_DT	prompt_IN	prompt_MD	prompt_NN	prompt_VB	edit_distance	edit_pattern-CC-OO	edit_pattern-CD-DT	edit_pattern-CD-JJ	edit_pattern-CD-NN	edit_pattern-CD-OO	edit_pattern-CD-VBZ	edit_pattern-DT-CD	edit_pattern-DT-FW	edit_pattern-DT-IN	edit_pattern-DT-JJ	edit_pattern-DT-NN	edit_pattern-DT-NNP	edit_pattern-DT-NNS	edit_pattern-DT-OO	edit_pattern-DT-PRP	edit_pattern-DT-PRP$	edit_pattern-DT-RB	edit_pattern-DT-TO	edit_pattern-DT-VB	edit_pattern-DT-VBP	edit_pattern-EX-NN	edit_pattern-EX-OO	edit_pattern-FW-JJ	edit_pattern-FW-LS	edit_pattern-FW-NN	edit_pattern-FW-NNS	edit_pattern-FW-OO	edit_pattern-FW-WRB	edit_pattern-IN-DT	edit_pattern-IN-FW	edit_pattern-IN-JJ	edit_pattern-IN-MD	edit_pattern-IN-NN	edit_pattern-IN-NNS	edit_pattern-IN-OO	edit_pattern-IN-TO	edit_pattern-IN-VB	edit_pattern-IN-VBP	edit_pattern-IN-VBZ	edit_pattern-JJ-CD	edit_pattern-JJ-DT	edit_pattern-JJ-IN	edit_pattern-JJ-JJR	edit_pattern-JJ-NN	edit_pattern-JJ-NNS	edit_pattern-JJ-OO	edit_pattern-JJ-RB	edit_pattern-JJ-VB	edit_pattern-JJ-VBZ	edit_pattern-JJR-JJ	edit_pattern-LS-DT	edit_pattern-LS-JJ	edit_pattern-LS-MD	edit_pattern-LS-NN	edit_pattern-LS-OO	edit_pattern-LS-PRP	edit_pattern-LS-VB	edit_pattern-LS-WRB	edit_pattern-MD-FW	edit_pattern-MD-JJ	edit_pattern-MD-OO	edit_pattern-MD-RB	edit_pattern-MD-VBP	edit_pattern-MD-VBZ	edit_pattern-NN-CD	edit_pattern-NN-DT	edit_pattern-NN-EX	edit_pattern-NN-FW	edit_pattern-NN-IN	edit_pattern-NN-JJ	edit_pattern-NN-JJR	edit_pattern-NN-NNP	edit_pattern-NN-NNS	edit_pattern-NN-OO	edit_pattern-NN-PRP$	edit_pattern-NN-RB	edit_pattern-NN-TO	edit_pattern-NN-VB	edit_pattern-NN-VBG	edit_pattern-NN-VBN	edit_pattern-NN-VBP	edit_pattern-NN-VBZ	edit_pattern-NN-WRB	edit_pattern-NNP-JJ	edit_pattern-NNP-OO	edit_pattern-NNS-CD	edit_pattern-NNS-DT	edit_pattern-NNS-FW	edit_pattern-NNS-IN	edit_pattern-NNS-JJ	edit_pattern-NNS-NN	edit_pattern-NNS-OO	edit_pattern-NNS-VB	edit_pattern-NNS-VBZ	edit_pattern-OO-CD	edit_pattern-OO-DT	edit_pattern-OO-EX	edit_pattern-OO-FW	edit_pattern-OO-IN	edit_pattern-OO-JJ	edit_pattern-OO-JJR	edit_pattern-OO-LS	edit_pattern-OO-MD	edit_pattern-OO-NN	edit_pattern-OO-NNP	edit_pattern-OO-NNS	edit_pattern-OO-PRP	edit_pattern-OO-PRP$	edit_pattern-OO-RB	edit_pattern-OO-TO	edit_pattern-OO-VB	edit_pattern-OO-VBG	edit_pattern-OO-VBN	edit_pattern-OO-VBP	edit_pattern-OO-VBZ	edit_pattern-OO-WRB	edit_pattern-PRP$-DT	edit_pattern-PRP$-FW	edit_pattern-PRP$-JJ	edit_pattern-PRP$-OO	edit_pattern-PRP-EX	edit_pattern-PRP-LS	edit_pattern-PRP-NN	edit_pattern-PRP-OO	edit_pattern-RB-DT	edit_pattern-RB-EX	edit_pattern-RB-JJ	edit_pattern-RB-NN	edit_pattern-RB-NNS	edit_pattern-RB-OO	edit_pattern-TO-DT	edit_pattern-TO-EX	edit_pattern-TO-IN	edit_pattern-TO-JJ	edit_pattern-TO-NN	edit_pattern-TO-NNS	edit_pattern-TO-OO	edit_pattern-TO-RB	edit_pattern-TO-VBP	edit_pattern-VB-DT	edit_pattern-VB-EX	edit_pattern-VB-FW	edit_pattern-VB-IN	edit_pattern-VB-JJ	edit_pattern-VB-NN	edit_pattern-VB-NNS	edit_pattern-VB-OO	edit_pattern-VB-TO	edit_pattern-VB-VBP	edit_pattern-VB-VBZ	edit_pattern-VBD-IN	edit_pattern-VBD-VB	edit_pattern-VBD-VBP	edit_pattern-VBG-OO	edit_pattern-VBG-VBP	edit_pattern-VBN-NN	edit_pattern-VBN-OO	edit_pattern-VBN-VBP	edit_pattern-VBP-FW	edit_pattern-VBP-IN	edit_pattern-VBP-NN	edit_pattern-VBP-OO	edit_pattern-VBP-VB	edit_pattern-VBP-VBZ	edit_pattern-VBZ-IN	edit_pattern-VBZ-MD	edit_pattern-VBZ-NN	edit_pattern-VBZ-OO	edit_pattern-VBZ-VB	edit_pattern-VBZ-VBP	edit_pattern-WDT-OO	edit_pattern-WP-WRB	edit_pattern-WRB-NN	edit_pattern-WRB-OO	CLASS
1987	0.9675023032843165	0.9532256241641479	0.9663826093343512	0.9999105691272476	0.9999186404706191	0.9999279597088222	0.9998523572539093	0.9998267546338878	0.999678558446086	-31.1141	-11.57517	-11.58729	-16.19935	-3.210012	-2.630965	-22.3723	-13.44697	-13.38424	-29.78594	-37.22444	-41.36076	-24.22018	-10.64364	-14.26192	-26.80932	9.5396039604	9.5396039604	0.166666666667	0.5	1.0	0.0	0.0	0.0	0.757031488833	0.701795020266	1	0.0	0.0	0.0	0.0	6	1	1.0	0.2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6579	0.4768439592407967	0.0	0.15129472612046696	0.9967530778167413	0.9978296780876506	0.9974802180272184	0.9935413693850187	0.9950521295163861	0.9943574346578029	-36.69939	-11.50288	-18.30069	-26.97902	-4.881893	-6.975206	-26.01639	-9.913261	-16.49746	-34.75027	-26.65551	-43.95268	-21.85456	-7.095834	-16.55699	-31.27754	1.60891089109	1.60891089109	0.428571428571	0.714285714286	1.0	0.0	0.0	0.0	1.33575007315	1.37511885476	1	0.0	0.0	0.0	0.0	8	0	1.0	0.5	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
790	0.9999999999999997	0.9999999999999978	0.9999999999999987	1.0	1.0	0.9999999999999997	1.0	1.0	1.0	-24.67022	-6.54246	-13.85322	-31.92397	-1.690196	-1.963197	-18.09418	-4.66093	-10.1376	-29.78594	-36.9218	-41.36076	-21.38131	-4.792978	-10.16811	-26.80932	15.0	15.0	0.0	0.166666666667	1.0	0.0	0.0	0.0	1.0	0.702145736883	1	0.0	0.0	0.0	0.0	6	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1131	0.9999999999999966	0.9999999999999966	0.9999999999999966	1.0	1.0	0.9999999999999997	1.0	1.0	1.0	-24.67022	-6.54246	-13.85322	-31.92397	-1.690196	-1.963197	-18.09418	-4.66093	-10.1376	-29.78594	-36.9218	-41.36076	-21.38131	-4.792978	-10.16811	-26.80932	15.0	15.0	0.0	0.166666666667	1.0	0.0	0.0	0.0	1.0	0.702145736883	1	0.0	0.0	0.0	0.0	6	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
6130	0.9999999715983161	0.9405385161536598	0.9790413378041166	1.0	0.9999999999999999	1.0	1.0000000000000002	1.0	1.0	-23.61545	-4.481186	-13.63912	-18.88486	-3.158419	-2.778312	-18.96816	-5.020811	-12.79466	-44.67892	-37.41455	-55.35036	-21.96013	-5.718941	-13.71165	-40.21398	16.4653465347	16.4653465347	0.0	0.111111111111	1.0	0.0	0.0	0.0	0.933764873355	0.938300674273	1	0.0	0.0	0.0	0.0	9	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3264	0.0	0.0	0.0	0.9998269840122925	0.9998681637799445	0.9999247186486155	0.9998877585210697	0.9999158151529416	0.9999511960166605	-32.68985	-11.59833	-15.42931	-13.61725	-5.557005	-4.887893	-22.45975	-9.264136	-16.46564	-29.78594	-33.02666	-41.36076	-20.94693	-9.57385	-17.20928	-26.80932	2.09405940594	4.09405940594	0.333333333333	0.833333333333	1.0	0.0	0.0	0.0	0.751204106317	0.699851522439	1	0.0	0.0	0.0	0.0	4	1	4.0	0.8	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3265	0.6051042875520911	0.060557889722088455	0.12084808723978528	0.9999175920305808	0.9999499087289176	0.9999720442635716	0.9999492060473034	0.9999687084292772	0.9999816852007649	-27.56863	-5.742637	-15.69842	-14.25657	-4.980102	-4.38019	-23.75886	-7.48694	-16.5736	-34.75027	-37.68952	-46.02396	-24.16848	-7.260822	-17.01692	-31.27754	6.05445544554	9.05445544554	0.142857142857	0.428571428571	1.0	0.0	0.0	0.0	0.779693410575	0.816493442845	1	0.0	0.0	0.0	0.0	5	1	2.0	0.4	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2072	0.9413137101320851	0.2068907693908837	0.42281489811105577	0.8949968310952943	0.8643608524144974	0.876079297577798	0.8828631057605103	0.85110872319569	0.8749742781213331	-27.71509	-3.468985	-9.327403	-10.29202	-4.294926	-2.143344	-17.49803	-3.252281	-8.557901	-19.8573	-21.27609	-32.03436	-17.26539	-4.103769	-9.176974	-17.87288	2.81081081081	2.81081081081	0.0	0.5	1.0	0.0	0.0	0.0	0.685606528462	0.70213184084	1	0.0	0.0	0.0	0.0	5	0	1.0	0.5	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3993	1.0	0.96403255456275	0.9986166367139518	0.787888187609656	0.8018189472237762	0.8028608173356183	0.7843748458889243	0.7981672215804999	0.7992505618043391	-37.06456	-8.630955	-9.957493	-26.20238	-4.053452	-1.682597	-22.35789	-8.398711	-7.022611	-24.82162	-27.04719	-36.69756	-17.04446	-5.034845	-7.796316	-22.3411	2.80769230769	2.80769230769	0.2	0.6	1.0	0.0	0.0	0.0	0.753021532628	0.735723001832	1	0.0	0.0	0.0	0.0	5	1	3.0	0.428571428571	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
4531	0.861057263941467	0.8297571227021757	0.85984147823075	0.5612480796402415	0.6811086742892233	0.6486961394742994	0.5576804311171624	0.6773887566298123	0.6449948904956999	-41.005	-11.64916	-15.10816	-29.27668	-4.053452	-2.385999	-25.99443	-8.0123	-14.61541	-29.78594	-31.65507	-41.36076	-23.88361	-7.097097	-14.51019	-26.80932	2.57692307692	2.57692307692	0.5	0.833333333333	1.0	0.0	0.0	0.0	0.681631179197	0.882867602199	1	0.0	0.0	0.0	0.0	5	1	4.0	0.571428571429	1.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
