ID	lda_sim-max	lda_sim-min	lda_sim-avg	maxsim_15_skip	maxsim_30_skip	maxsim_50_skip	maxsim_15_cbw	maxsim_30_cbw	maxsim_50_cbw	ppl-ref	ppl-ref_pos	ppl-ref_prod	ppl-ref_dep	ppl-prompt	ppl-prompt_pos	ppl-correct	ppl-correct_pos	ppl-correct_prod	ppl-correct_dep	ppl-ge	ppl-ge_pos	ppl-incorrect	ppl-incorrect_pos	ppl-incorrect_prod	ppl-incorrect_dep	ngram_match	ngram_match-lem	ngram_unseen-1	ngram_unseen-2	ngram_unseen-3	error_yn	error_count	error_ratio	parse_score-ratio	length_ratio	length_01	length_under-min	length_above-max	length_unknown	length_unknown-ratio	length_sounds	length_sounds-ratio	prompt_missing	prompt_missing-pct	prompt_DT	prompt_IN	prompt_MD	prompt_NN	prompt_VB	edit_distance	edit_pattern-CD-DT	edit_pattern-CD-FW	edit_pattern-CD-JJ	edit_pattern-CD-NN	edit_pattern-CD-OO	edit_pattern-DT-CD	edit_pattern-DT-FW	edit_pattern-DT-IN	edit_pattern-DT-JJ	edit_pattern-DT-NN	edit_pattern-DT-OO	edit_pattern-DT-PRP$	edit_pattern-DT-RB	edit_pattern-DT-TO	edit_pattern-EX-OO	edit_pattern-FW-LS	edit_pattern-FW-OO	edit_pattern-IN-DT	edit_pattern-IN-JJ	edit_pattern-IN-NN	edit_pattern-IN-OO	edit_pattern-IN-TO	edit_pattern-IN-VBP	edit_pattern-IN-VBZ	edit_pattern-JJ-DT	edit_pattern-JJ-NN	edit_pattern-JJ-OO	edit_pattern-JJ-VBN	edit_pattern-LS-JJ	edit_pattern-LS-MD	edit_pattern-LS-NN	edit_pattern-LS-OO	edit_pattern-LS-PRP	edit_pattern-MD-OO	edit_pattern-MD-RB	edit_pattern-NN-DT	edit_pattern-NN-EX	edit_pattern-NN-IN	edit_pattern-NN-JJ	edit_pattern-NN-NNS	edit_pattern-NN-OO	edit_pattern-NN-RB	edit_pattern-NN-VB	edit_pattern-NN-VBN	edit_pattern-NNP-OO	edit_pattern-NNS-JJ	edit_pattern-NNS-NN	edit_pattern-NNS-OO	edit_pattern-NNS-VB	edit_pattern-NNS-VBN	edit_pattern-NNS-VBZ	edit_pattern-OO-CD	edit_pattern-OO-DT	edit_pattern-OO-EX	edit_pattern-OO-FW	edit_pattern-OO-IN	edit_pattern-OO-JJ	edit_pattern-OO-LS	edit_pattern-OO-MD	edit_pattern-OO-NN	edit_pattern-OO-NNP	edit_pattern-OO-NNS	edit_pattern-OO-PRP$	edit_pattern-OO-RB	edit_pattern-OO-TO	edit_pattern-OO-VB	edit_pattern-OO-VBN	edit_pattern-OO-VBP	edit_pattern-OO-VBZ	edit_pattern-OO-WRB	edit_pattern-PRP$-DT	edit_pattern-PRP$-OO	edit_pattern-RB-EX	edit_pattern-RB-JJ	edit_pattern-RB-NN	edit_pattern-RB-OO	edit_pattern-TO-IN	edit_pattern-TO-OO	edit_pattern-TO-VBP	edit_pattern-VB-NN	edit_pattern-VB-OO	edit_pattern-VB-VBP	edit_pattern-VBD-VB	edit_pattern-VBG-OO	edit_pattern-VBN-OO	edit_pattern-VBN-VBP	edit_pattern-VBP-FW	edit_pattern-VBP-NN	edit_pattern-VBP-OO	edit_pattern-VBP-VB	edit_pattern-VBZ-IN	edit_pattern-VBZ-OO	edit_pattern-VBZ-VBP	edit_pattern-WP-WRB	edit_pattern-WRB-OO	CLASS
4572	0.99844036248	0.358049240535	0.74092561061	1.0	1.0	1.0	1.0	1.0	1.0	-23.52866	-6.008163	-16.54678	-17.37502	-3.803262	-3.576049	-19.52559	-7.990506	-16.56147	-28.02476	-26.87945	-41.36076	-16.91167	-7.299162	-17.08535	-25.46067	6.91891891892	6.91891891892	0.0	0.166666666667	1.0	0.0	0.0	0.0	0.509596059136	0.791443850267	1	0.0	0.0	0.0	0.0	6	1	2.0	0.4	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
3804	0.0317820888663	0.0	0.000159509785631	0.995082306145	0.99688437555	0.997047363057	0.989052175787	0.992555700724	0.993040646036	-28.05582	-4.656389	-9.087749	-10.87784	-2.683129	-7.760765	-17.91842	-4.269741	-8.183101	-18.68318	-20.90181	-32.03436	-14.09132	-3.251067	-8.296465	-16.97378	0.990099009901	0.990099009901	0.25	0.5	1.0	0.0	0.0	0.0	0.748193396525	0.786152399861	1	0.0	0.0	0.0	0.0	3	1	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3805	1.0	0.402743486535	0.91005197632	1.0	1.0	1.0	1.0	1.0	1.0	-23.91483	-4.256569	-10.17257	-12.28076	-3.023852	-2.595504	-16.67848	-3.759226	-9.47722	-23.35397	-24.04077	-36.69756	-14.549	-4.303587	-9.226385	-21.21722	3.22772277228	3.22772277228	0.0	0.2	1.0	0.0	0.0	0.0	0.902620839837	0.982690499826	1	0.0	0.0	0.0	0.0	5	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
3910	1.0	0.481380990681	0.975197307363	1.0	1.0	1.0	1.0	1.0	1.0	-24.15063	-4.242707	-11.46701	-9.320267	-3.298154	-3.345046	-16.73603	-3.774892	-10.30269	-14.01238	-21.02972	-27.37116	-15.96934	-4.215968	-10.63103	-12.73033	1.59405940594	1.59405940594	0.0	0.333333333333	1.0	0.0	0.0	0.0	0.473556504797	0.589614299895	1	0.0	0.0	0.0	0.0	3	1	1.0	0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
3932	1.0	0.481813263363	0.973022774116	1.0	1.0	1.0	1.0	1.0	1.0	-24.15063	-4.242707	-11.46701	-9.320267	-3.298154	-3.345046	-16.73603	-3.774892	-10.30269	-14.01238	-21.02972	-27.37116	-15.96934	-4.215968	-10.63103	-12.73033	1.59405940594	1.59405940594	0.0	0.333333333333	1.0	0.0	0.0	0.0	0.473556504797	0.589614299895	1	0.0	0.0	0.0	0.0	3	1	1.0	0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
4266	0.991639445945	0.481577195908	0.738891558811	0.998934562069	0.998410998112	0.998098937047	0.997771346448	0.996546429456	0.995755340781	-35.61361	-14.84977	-23.40279	-19.1122	-4.461726	-3.826104	-25.4723	-13.33556	-23.18645	-23.35397	-24.24893	-34.62628	-20.04667	-7.70921	-20.05867	-21.21722	1.9702970297	1.9702970297	0.4	0.8	1.0	0.0	0.0	0.0	0.925983635865	0.982690499826	1	0.0	0.0	1.0	0.2	5	1	1.0	0.5	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4267	1.0	0.412602943612	0.921087042868	1.0	1.0	1.0	1.0	1.0	1.0	-23.91483	-4.256569	-10.17257	-12.28076	-3.023852	-2.595504	-16.67848	-3.759226	-9.47722	-23.35397	-24.04077	-36.69756	-14.549	-4.303587	-9.226385	-21.21722	3.22772277228	3.22772277228	0.0	0.2	1.0	0.0	0.0	0.0	0.902620839837	0.982690499826	1	0.0	0.0	0.0	0.0	5	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
4357	1.0	0.411104035996	0.913575040278	1.0	1.0	1.0	1.0	1.0	1.0	-23.91483	-4.256569	-10.17257	-12.28076	-3.023852	-2.595504	-16.67848	-3.759226	-9.47722	-23.35397	-24.04077	-36.69756	-14.549	-4.303587	-9.226385	-21.21722	3.22772277228	3.22772277228	0.0	0.2	1.0	0.0	0.0	0.0	0.902620839837	0.982690499826	1	0.0	0.0	0.0	0.0	5	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
4358	0.0317820888663	0.0	0.000159509785631	0.992942145893	0.995321773352	0.995657611815	0.985749804589	0.989830680014	0.990667553698	-29.96926	-4.999947	-10.03911	-13.19524	-2.970795	-5.64944	-19.2696	-4.473862	-9.754249	-14.01238	-19.69895	-27.37116	-16.29815	-3.38937	-9.143131	-12.73033	0.554455445545	0.554455445545	0.333333333333	0.666666666667	1.0	0.0	0.0	0.0	0.460378602439	0.589614299895	1	0.0	0.0	1.0	0.2	5	0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4359	1.0	0.406851938993	0.917803995492	1.0	1.0	1.0	1.0	1.0	1.0	-23.91483	-4.256569	-10.17257	-12.28076	-3.023852	-2.595504	-16.67848	-3.759226	-9.47722	-23.35397	-24.04077	-36.69756	-14.549	-4.303587	-9.226385	-21.21722	3.22772277228	3.22772277228	0.0	0.2	1.0	0.0	0.0	0.0	0.902620839837	0.982690499826	1	0.0	0.0	2.0	0.166666666667	12	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
