ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count,Id
0,0,0,0,0,0,0,0,0,0,1,10000
0,0,0,0,0,0,0,0,0,0,1,10001
0,0,0,0,0,0,0,0,0,0,0,10002
0,0,0,0,0,0,0,0,0,0,1,10003
0,0,0,0,0,0,0,0,0,0,1,10004
0,0,0,0,0,0,0,1,0,0,0,10005
0,0,0,0,0,0,0,0,0,0,0,10006
0,0,0,0,0,0,0,0,0,0,0,10007
0,0,0,0,0,0,0,0,0,0,0,10008
0,0,0,0,0,0,0,0,0,0,0,10009
0,0,0,0,0,0,0,0,0,0,0,10010
0,0,0,0,0,0,0,0,0,0,0,10011
0,0,0,0,0,0,0,0,0,0,0,10012
0,0,0,0,0,0,0,0,0,0,1,10013
0,0,0,0,0,0,0,0,0,0,1,10014
0,0,0,0,0,0,0,0,0,0,1,10015
0,0,0,0,0,0,0,0,0,0,0,10016
0,0,0,0,0,0,0,0,0,0,0,10017
0,0,0,0,0,0,0,0,0,0,0,10018
0,0,0,0,0,0,0,1,0,0,0,10019
0,0,0,0,0,0,0,0,0,0,1,10022
0,0,0,0,0,0,0,0,0,0,0,10023
0,0,0,0,0,0,0,0,0,0,0,10024
0,0,0,0,0,0,0,0,0,0,0,10025
0,0,0,0,0,0,0,0,0,0,0,10026
0,0,0,0,0,0,0,0,0,0,1,10027
0,0,0,0,0,0,0,0,0,0,1,10028
0,0,0,1,0,0,0,0,0,0,0,10029
0,0,0,0,0,0,0,1,0,0,0,10030
0,0,0,0,0,0,0,0,0,0,0,10031
0,0,0,0,0,0,0,0,0,0,0,10033
0,0,0,0,0,0,0,0,0,0,0,10034
0,0,0,0,0,0,0,0,0,0,0,10035
0,0,0,0,0,0,0,1,0,0,0,10036
0,0,0,0,0,0,0,1,0,0,0,10037
0,0,0,0,0,0,0,1,0,0,0,10038
0,0,0,0,0,0,0,1,0,0,0,10039
0,0,0,0,0,0,0,0,0,0,0,10040
0,0,0,0,0,0,0,0,0,0,0,10041
0,0,0,0,0,0,0,0,0,0,0,10042
0,0,0,0,0,0,0,0,0,0,0,10043
0,0,0,0,0,0,0,0,0,0,1,10044
0,0,0,0,0,0,0,0,0,0,1,10045
0,0,0,0,0,0,0,0,0,0,0,10046
0,0,0,0,0,0,0,0,0,0,0,10047
0,0,0,0,0,0,0,0,0,0,0,10049
0,0,0,0,0,0,0,0,0,0,0,10050
0,0,0,0,0,0,1,0,0,0,1,10051
0,0,0,0,0,0,0,0,0,0,1,10052
0,0,0,0,0,0,0,0,0,0,0,10053
0,0,0,0,0,0,0,0,0,0,1,10054
0,0,0,0,0,0,0,0,0,0,0,10055
0,0,0,0,0,0,0,0,0,0,0,10056
0,0,0,0,0,0,0,0,0,0,1,10057
0,0,0,0,0,0,0,0,0,0,1,10059
0,0,0,0,0,0,0,0,0,0,0,10060
0,0,0,0,0,0,0,0,0,0,1,10061
0,0,0,0,0,0,0,0,0,0,0,10062
0,0,0,0,0,0,0,0,0,0,1,10063
0,0,0,0,0,0,0,0,0,0,0,10065
0,0,0,0,0,0,0,0,0,0,1,10066
0,0,0,0,0,0,0,0,0,0,1,10067
0,0,0,0,0,0,0,0,0,0,1,10068
0,0,0,0,0,0,0,0,0,0,1,10069
0,0,0,0,0,0,0,0,0,0,1,10070
0,0,0,0,0,0,0,0,0,0,0,10071
0,0,0,0,0,0,0,0,0,0,1,10072
0,0,0,0,0,0,0,0,0,0,0,10073
0,0,0,0,0,0,0,0,0,0,0,10074
