ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count,Id
0,0,0,0,0,0,0,0,0,0,0,1002
0,0,0,0,0,0,0,0,0,0,0,1003
0,0,0,0,0,0,0,0,0,0,0,1028
0,0,0,0,0,0,0,0,0,0,0,1037
0,0,0,0,0,0,0,0,0,0,0,1044
0,0,0,0,0,0,0,0,0,0,0,1047
0,0,0,0,0,0,0,0,0,0,0,1060
0,0,0,0,0,0,0,0,0,0,0,1062
0,0,0,0,0,1,0,0,0,0,1,1070
0,0,0,0,0,0,0,0,0,0,0,1074
0,0,0,0,0,0,0,0,0,0,0,111
0,0,0,0,0,0,0,0,0,0,0,1126
0,0,0,0,0,0,0,0,0,0,0,1137
0,0,0,0,0,0,0,1,0,0,0,1138
0,0,0,0,0,0,0,0,0,0,0,1139
0,0,0,0,0,0,0,0,0,0,0,1148
0,0,0,0,0,0,0,0,0,0,2,1154
0,0,0,0,0,0,0,0,0,0,0,1204
0,0,0,0,0,0,0,0,0,0,0,1228
0,0,0,0,0,0,0,0,0,0,0,1233
0,0,0,0,0,0,0,0,0,0,2,125
0,0,0,0,0,0,0,0,0,0,0,1302
0,0,0,0,0,0,0,0,0,0,0,1361
0,0,0,0,0,0,0,0,0,0,0,1362
0,0,0,0,0,0,0,0,0,0,0,1389
0,0,0,0,0,0,0,0,0,0,0,152
0,0,0,0,0,0,0,0,0,0,0,1547
0,0,0,0,0,0,0,0,0,0,0,1548
0,0,0,0,0,0,0,0,0,0,0,1629
0,0,0,0,0,0,0,0,0,0,0,1643
0,0,0,0,0,0,0,0,0,0,0,1667
0,0,0,0,0,0,0,0,0,0,0,167
0,0,0,0,0,0,0,0,0,0,0,1720
0,0,0,0,0,0,0,0,0,0,0,1736
0,0,0,0,0,0,0,0,0,0,0,1740
0,0,0,0,0,0,0,0,0,0,0,1741
0,0,0,0,0,0,0,1,0,0,0,1745
0,0,0,0,0,0,0,1,0,0,0,1746
0,0,0,0,0,0,0,0,0,0,0,175
0,0,0,0,0,0,0,0,0,0,0,176
0,0,0,0,0,0,0,0,0,0,0,177
0,0,0,0,0,0,0,0,0,0,0,1776
0,0,0,0,0,0,0,0,0,0,0,1801
0,0,0,0,0,0,0,0,0,0,0,1817
0,0,0,0,0,0,0,0,0,0,0,1881
0,0,0,0,0,0,0,0,0,0,0,1888
0,0,0,0,0,0,0,1,0,0,0,1924
0,0,0,0,0,0,0,0,0,0,0,1949
0,0,0,0,0,0,0,0,0,0,0,1986
0,0,0,0,0,0,0,0,0,0,0,2023
0,0,0,0,0,0,0,0,0,0,0,2029
0,0,0,0,0,0,0,0,0,0,0,2049
0,0,0,0,0,0,0,0,0,0,0,2060
0,0,0,0,0,0,0,0,0,0,0,2099
0,0,0,0,0,0,0,0,0,0,0,2106
0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,0,0,0,0,0,0,0,2145
0,0,0,0,0,0,0,0,0,0,0,2148
0,0,0,0,0,0,0,0,0,0,0,216
0,0,0,0,0,0,0,0,0,0,0,2178
0,0,0,0,0,0,0,0,0,0,0,2237
0,0,0,0,0,0,0,0,0,0,0,2245
0,0,0,0,0,0,0,0,0,0,0,2259
0,0,0,0,0,0,0,0,0,0,0,2284
0,0,0,0,0,0,0,0,0,0,0,2307
0,0,0,0,0,0,0,0,0,0,0,2321
0,0,0,0,0,0,0,0,0,0,0,2325
0,0,0,0,0,0,0,0,0,0,0,2327
0,0,0,0,0,0,1,1,0,0,0,233
0,0,0,0,0,0,0,0,0,0,0,2347
0,0,0,0,0,0,0,0,0,0,0,2370
0,0,0,0,0,0,0,0,0,0,0,2386
0,0,0,0,0,0,0,0,0,0,0,2397
0,0,0,0,0,0,0,0,0,0,0,2403
0,0,0,0,0,0,0,0,0,0,0,2435
0,0,0,0,0,0,0,0,0,0,0,2472
0,0,0,0,0,0,0,0,0,0,0,2539
0,0,0,0,0,0,0,0,0,0,0,2546
0,0,0,0,0,0,0,0,0,0,0,2569
0,0,0,0,0,0,0,0,0,0,0,2602
0,0,0,0,0,0,0,1,0,0,0,2609
0,0,0,0,0,0,0,0,0,0,0,2646
0,0,0,0,0,0,0,1,0,0,0,2660
0,0,0,0,0,0,0,1,0,0,0,2666
0,0,0,0,0,0,0,0,0,0,0,2697
0,0,0,0,0,0,0,0,0,0,1,27
0,0,0,0,0,0,0,0,0,0,0,2713
0,0,0,0,0,0,0,0,0,0,0,2767
0,0,0,0,0,0,0,0,0,0,0,2805
0,0,0,0,0,0,0,0,0,0,0,2812
0,0,0,0,0,0,0,0,0,0,0,2818
0,0,0,0,0,0,0,0,0,0,0,2820
0,0,0,0,0,0,0,0,0,0,0,2824
0,0,0,0,0,0,0,0,0,0,0,284
0,0,0,0,0,0,0,0,0,0,0,2844
0,0,0,0,0,0,0,0,0,0,0,2845
0,0,0,0,0,0,0,0,0,0,1,2852
0,0,0,0,0,0,0,0,0,0,0,2867
0,0,0,0,0,0,0,0,0,0,0,2870
0,0,0,0,0,0,0,0,0,0,0,2871
0,0,0,0,0,0,0,0,0,0,0,2880
0,0,0,0,0,0,0,0,0,0,0,2887
0,0,0,0,0,0,0,0,0,0,0,2930
0,0,0,0,0,0,0,0,0,0,0,297
0,0,0,0,0,0,0,0,0,0,0,2973
0,0,0,0,0,0,0,0,0,0,0,2974
0,0,0,0,0,0,0,0,0,0,0,3008
0,0,0,0,0,0,0,0,0,0,0,3011
0,0,0,0,0,0,0,0,0,0,0,3029
0,0,0,0,0,0,0,0,0,0,0,3030
0,0,0,0,0,0,0,0,0,0,0,3077
0,0,0,0,0,0,0,0,0,0,0,3124
0,0,0,0,0,0,0,0,0,0,0,3144
0,0,0,0,0,0,0,0,0,0,0,3162
0,0,0,0,0,0,0,0,0,0,0,3289
0,0,0,0,0,0,0,1,0,0,0,3316
0,0,0,0,0,0,0,0,0,0,0,3327
0,0,0,0,0,0,0,0,0,0,0,3346
0,0,0,0,0,0,0,0,0,0,0,3387
0,0,0,0,0,0,0,0,0,0,0,3437
0,0,0,0,0,0,0,0,0,0,0,346
0,0,0,0,0,0,0,1,0,0,0,3479
0,0,0,0,0,0,0,0,0,0,0,3488
0,0,0,0,0,0,0,0,0,0,0,3495
0,0,0,0,0,0,0,0,0,0,0,350
0,0,0,0,0,0,0,0,0,0,0,3507
0,0,0,0,0,0,0,1,0,0,0,351
0,0,0,0,0,0,0,1,0,0,0,3511
0,0,0,0,0,0,0,0,0,0,0,3521
0,0,0,0,0,0,0,0,0,0,0,3522
0,0,0,0,0,0,0,0,0,0,0,3530
0,0,0,0,0,0,0,0,0,0,0,3544
0,0,0,0,0,0,0,0,0,0,0,358
0,0,0,0,0,0,0,1,0,0,0,3606
0,0,0,0,0,0,0,0,0,0,0,3610
0,0,0,0,0,0,1,0,0,0,0,3635
0,0,0,0,0,0,0,1,0,0,0,365
0,0,0,0,0,0,0,0,0,0,0,3655
0,0,0,0,0,0,0,0,0,0,0,3676
0,0,0,0,0,0,0,0,0,0,0,3685
0,0,0,0,0,0,0,0,0,0,0,3688
0,0,0,0,0,0,0,0,0,0,0,370
0,0,0,0,0,0,0,0,0,0,0,3757
