set_Id,ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count
2018_testset-lma-0.5-20._39535,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39538,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39539,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39540,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39541,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39547,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39549,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39550,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39551,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39555,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39556,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39559,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39561,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39562,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39563,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39566,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39567,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39570,0,0,0,0,0,0,1,1,0,0,0
2018_testset-lma-0.5-20._39572,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39573,0,0,0,0,0,0,0,2,0,0,0
2018_testset-lma-0.5-20._39574,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39580,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39583,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39585,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39586,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39588,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39590,0,0,0,0,0,0,0,0,0,0,1
2018_testset-lma-0.5-20._39591,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39596,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39597,0,0,0,0,0,0,1,0,0,0,0
2018_testset-lma-0.5-20._39601,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39605,0,0,0,0,0,0,0,1,0,0,1
2018_testset-lma-0.5-20._39609,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39610,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39611,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39620,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39624,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39627,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39628,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39629,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39630,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39632,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39634,0,0,0,0,0,0,1,1,0,0,0
2018_testset-lma-0.5-20._39635,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39636,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39639,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39641,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39642,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39648,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39649,0,0,0,0,0,0,0,2,0,0,0
2018_testset-lma-0.5-20._39650,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39652,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39655,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39657,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39658,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39664,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39666,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39667,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39671,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39672,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39675,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39677,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39678,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39682,0,0,0,0,0,0,0,1,0,0,0
2018_testset-lma-0.5-20._39684,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39687,0,0,0,0,0,0,0,1,0,0,1
2018_testset-lma-0.5-20._39690,0,0,0,0,0,0,0,0,0,0,0
2018_testset-lma-0.5-20._39694,0,0,0,0,0,0,0,0,0,0,0
