set_Id,ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count
2017_test_withASR_3571,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3572,0,0,0,1,0,0,0,0,0,0,0
2017_test_withASR_3573,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3574,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3575,0,0,0,0,0,0,1,0,0,0,0
2017_test_withASR_3576,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3577,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3579,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3580,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3581,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3582,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3583,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3584,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3587,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3588,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3589,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3590,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3592,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3593,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3594,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3595,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3596,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3597,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3598,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3599,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3602,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3604,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3605,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3606,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3608,0,0,0,0,0,0,0,0,0,0,1
2017_test_withASR_3610,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3611,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3618,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3619,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3620,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3621,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3622,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3623,0,0,0,0,0,0,0,0,0,0,1
2017_test_withASR_3625,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3626,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3627,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3628,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3629,0,0,0,0,0,0,1,1,0,0,0
2017_test_withASR_3630,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3631,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3632,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3634,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3636,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3637,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3638,0,0,0,1,0,0,0,0,0,0,0
2017_test_withASR_3639,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3640,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3641,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3642,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3643,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3644,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3645,0,0,0,0,0,0,0,1,0,1,1
2017_test_withASR_3647,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3648,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3649,0,0,0,0,0,0,1,0,0,0,0
2017_test_withASR_3650,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3651,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3652,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3654,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3655,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3656,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3657,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3658,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3659,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3660,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3661,0,0,0,0,0,0,0,1,0,0,2
2017_test_withASR_3662,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3663,0,0,0,0,0,0,1,0,0,0,0
2017_test_withASR_3664,0,0,0,0,0,0,1,1,0,0,0
2017_test_withASR_3665,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3666,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3667,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3668,0,0,0,0,0,0,0,0,0,0,1
2017_test_withASR_3669,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3670,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3671,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3673,0,0,0,0,0,0,0,0,0,0,1
2017_test_withASR_3674,0,0,0,0,0,0,1,0,0,0,0
2017_test_withASR_3675,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3676,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3679,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3680,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3681,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3682,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3683,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3684,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3685,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3686,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3688,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3689,0,0,0,0,0,0,0,0,0,0,1
2017_test_withASR_3690,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3691,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3692,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3693,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3694,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3695,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3696,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3697,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3698,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3700,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3701,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3702,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3703,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3704,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3705,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3706,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3707,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3708,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3709,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3710,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3712,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3713,0,0,0,0,0,0,1,0,0,0,0
2017_test_withASR_3714,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3716,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3717,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3718,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3719,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3720,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3723,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3724,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3725,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3726,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3727,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3728,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3729,0,0,0,0,0,0,0,0,0,0,1
2017_test_withASR_3730,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3731,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3735,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3736,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3737,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3738,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3740,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3741,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3742,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3743,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3744,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3745,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3746,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3749,0,0,0,1,0,0,0,0,0,0,0
2017_test_withASR_3750,0,0,0,0,0,0,0,1,0,0,0
2017_test_withASR_3751,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3757,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3759,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3761,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3762,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3763,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3764,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3767,0,0,0,0,0,0,0,0,0,0,0
2017_test_withASR_3768,0,0,0,0,0,0,0,0,0,0,0
