set_Id,ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count
scst1_testData_annotated_3571,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3572,0,0,0,1,0,0,0,0,0,0,0
scst1_testData_annotated_3573,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3574,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3575,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3576,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3577,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3579,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3580,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3581,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3582,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3583,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3584,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3587,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3588,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3589,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3590,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3592,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3593,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3594,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3595,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3596,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3597,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3598,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3599,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3602,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3604,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3605,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3606,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3608,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3610,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3611,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3618,0,0,0,0,0,0,1,0,0,0,0
scst1_testData_annotated_3619,0,0,0,0,0,0,1,0,0,0,0
scst1_testData_annotated_3620,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3621,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3622,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3623,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3625,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3626,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3627,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3628,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3629,0,0,0,0,0,0,1,1,0,0,0
scst1_testData_annotated_3630,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3631,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3632,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3634,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3636,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3637,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3638,0,0,0,1,0,0,0,0,0,0,0
scst1_testData_annotated_3639,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3640,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3641,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3642,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3643,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3644,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3645,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3647,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3648,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3649,0,0,0,0,0,0,1,0,0,0,0
scst1_testData_annotated_3650,0,0,0,0,0,0,0,0,0,1,0
scst1_testData_annotated_3651,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3652,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3654,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3655,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3656,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3657,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3658,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3659,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3660,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3661,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3662,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3663,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3664,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3665,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3666,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3667,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3668,0,0,0,0,0,0,0,0,0,0,1
scst1_testData_annotated_3669,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3670,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3671,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3673,0,0,0,0,0,0,0,0,0,0,1
scst1_testData_annotated_3674,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3675,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3676,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3679,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3680,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3681,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3682,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3683,0,0,0,0,0,0,1,0,0,0,0
scst1_testData_annotated_3684,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3685,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3686,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3688,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3689,0,0,0,0,0,0,0,0,0,0,1
scst1_testData_annotated_3690,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3691,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3692,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3693,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3694,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3695,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3696,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3697,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3698,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3700,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3701,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3702,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3703,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3704,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3705,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3706,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3707,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3708,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3709,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3710,0,0,0,0,0,0,0,0,0,1,0
scst1_testData_annotated_3712,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3713,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3714,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3716,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3717,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3718,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3719,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3720,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3723,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3724,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3725,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3726,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3727,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3728,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3729,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3730,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3731,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3735,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3736,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3737,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3738,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3740,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3741,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3742,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3743,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3744,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3745,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3746,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3749,0,0,0,1,0,0,0,1,0,0,0
scst1_testData_annotated_3750,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3751,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3757,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3759,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3761,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3762,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3763,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3764,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3767,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3768,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3769,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3770,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3771,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3773,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3774,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3776,0,0,0,0,0,0,0,0,0,0,1
scst1_testData_annotated_3777,0,0,0,0,0,0,0,0,0,0,1
scst1_testData_annotated_3778,0,0,0,0,0,0,0,0,0,0,1
scst1_testData_annotated_3779,0,0,0,0,0,1,0,0,0,0,0
scst1_testData_annotated_3781,0,0,0,0,0,0,0,0,0,0,1
scst1_testData_annotated_3782,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3783,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3784,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3786,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3787,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3788,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3789,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3790,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3791,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3792,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3794,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3795,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3796,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3797,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3798,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3799,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3800,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3801,0,0,0,0,0,0,0,1,0,0,0
scst1_testData_annotated_3802,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3803,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3804,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3805,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3806,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3807,0,0,0,0,0,0,0,0,0,0,1
scst1_testData_annotated_3808,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3809,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3810,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3811,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3812,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3813,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3814,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3815,0,0,0,0,0,0,1,0,0,0,0
scst1_testData_annotated_3816,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3817,0,0,0,0,0,0,0,0,0,0,0
scst1_testData_annotated_3818,0,0,0,0,0,0,0,0,0,0,0
