set_Id,ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count
2017_test_asr_3570,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3571,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3572,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3573,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3574,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3575,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3576,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3577,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3579,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3580,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3581,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3582,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3583,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3584,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3587,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3588,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3589,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3590,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3592,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3593,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3594,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3595,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3596,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3597,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3598,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3599,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3602,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3604,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3605,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3606,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3608,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3610,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3611,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3618,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3619,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3620,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3621,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3622,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3623,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3625,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3626,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3627,0,0,0,0,0,0,1,0,0,0,0
2017_test_asr_3628,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3629,0,0,0,0,0,0,1,0,0,0,0
2017_test_asr_3630,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3631,0,0,0,0,0,0,0,0,0,1,1
2017_test_asr_3632,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3634,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3636,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3637,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3638,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3639,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3640,0,0,0,0,0,0,0,1,0,0,0
2017_test_asr_3641,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3642,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3643,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3644,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3645,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3647,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3648,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3649,0,0,0,0,0,0,1,0,0,0,0
2017_test_asr_3650,0,0,0,0,0,0,1,0,0,1,0
2017_test_asr_3651,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3652,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3654,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3655,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3656,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3657,0,0,0,0,0,0,0,0,0,0,0
2017_test_asr_3658,0,0,0,0,0,0,0,0,0,0,0
