set_Id,ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count
2017_train_asr_10000,0,0,0,0,0,0,0,0,0,0,1
2017_train_asr_10001,0,0,0,0,0,0,0,0,0,0,1
2017_train_asr_10002,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10003,0,0,0,0,0,0,0,0,0,0,1
2017_train_asr_10004,0,0,0,0,0,0,0,0,0,0,1
2017_train_asr_10005,0,0,0,0,0,0,0,1,0,0,0
2017_train_asr_10006,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10007,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10008,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10009,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10010,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10011,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10012,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10013,0,0,0,0,0,0,0,0,0,0,1
2017_train_asr_10014,0,0,0,0,0,0,0,0,0,0,1
2017_train_asr_10015,0,0,0,0,0,0,0,0,0,0,1
2017_train_asr_10016,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10017,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10018,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10019,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10022,0,0,0,0,0,0,0,0,0,0,1
2017_train_asr_10023,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10024,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10025,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10026,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10027,0,0,0,0,0,0,0,0,0,0,1
2017_train_asr_10028,0,0,0,0,0,0,0,0,0,0,1
2017_train_asr_10029,0,0,0,0,0,0,0,0,0,0,0
2017_train_asr_10030,0,0,0,0,0,0,0,1,0,0,0
2017_train_asr_10031,0,0,0,0,0,0,0,0,0,0,0
