Id	ppl-ref	ppl-ref_pos	ppl-ref_prod	ppl-ref_dep	ppl-prompt	ppl-prompt_pos	ppl-correct	ppl-correct_pos	ppl-correct_prod	ppl-correct_dep	ppl-ge	ppl-ge_pos	ppl-incorrect	ppl-incorrect_pos	ppl-incorrect_prod	ppl-incorrect_dep	maxsim_15_skip	maxsim_30_skip	maxsim_50_skip	maxsim_15_cbw	maxsim_30_cbw	maxsim_50_cbw	lda_sim-max	lda_sim-min	lda_sim-avg	ngram_match	ngram_match-lem	ngram_unseen-1	ngram_unseen-2	ngram_unseen-3	error_yn	error_count	error_ratio	parse_score-ratio	length_ratio	length_01	length_under-min	length_above-max	length_unknown	length_unknown-ratio	length_sounds	length_sounds-ratio	prompt_missing	prompt_missing-pct	prompt_DT	prompt_IN	prompt_MD	prompt_NN	prompt_VB	CLASS
8758	-24.39586	-4.722945	-12.72893	-15.70975	-3.364368	-3.366512	-17.46077	-5.165684	-12.31418	-32.69556	-37.52848	-46.02396	-22.66411	-5.226996	-12.33785	-29.70411	1.0	1.0	1.0	1.0	1.0	1.0	0.999999920258	0.863763876678	0.954532921917	12.6732673267	12.6732673267	0.0	0.142857142857	1.0	0.0	0.0	0.0	0.700772307418	0.818760856977	1	0.0	0.0	0.0	0.0	7	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
9662	-24.39586	-4.722945	-12.72893	-15.70975	-3.364368	-3.366512	-17.46077	-5.165684	-12.31418	-32.69556	-37.52848	-46.02396	-22.66411	-5.226996	-12.33785	-29.70411	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999503	0.864078317459	0.954562536254	12.6732673267	12.6732673267	0.0	0.142857142857	1.0	0.0	0.0	0.0	0.700772307418	0.818760856977	1	0.0	0.0	0.0	0.0	7	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
11632	-24.09983	-4.048486	-13.37252	-16.39785	-3.063338	-2.687221	-17.62365	-5.31293	-13.3294	-37.36635	-38.06447	-50.68716	-23.56589	-5.007334	-13.51045	-33.94756	1.0	1.0	1.0	1.0	1.0	1.0	0.999999998987	0.8533053492	0.949607205767	13.4653465347	13.4653465347	0.0	0.125	1.0	0.0	0.0	0.0	0.920024100684	0.935726693688	1	0.0	0.0	0.0	0.0	8	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
6487	-22.97732	-4.408341	-16.13773	-21.76518	-2.445632	-2.396414	-16.42134	-3.970063	-15.75726	-37.36635	-32.63098	-48.61588	-16.1033	-3.841815	-14.99001	-33.94756	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999762	0.999716835708	0.999921401581	16.2857142857	16.2857142857	0.0	0.125	1.0	0.0	0.0	0.0	1.02135549134	0.93685038718	1	0.0	0.0	0.0	0.0	8	1	2.0	0.285714285714	0.0	0.0	0.0	0.0	1.0	1.0
7103	-22.97732	-4.408341	-16.13773	-21.76518	-2.445632	-2.396414	-16.42134	-3.970063	-15.75726	-37.36635	-32.63098	-48.61588	-16.1033	-3.841815	-14.99001	-33.94756	1.0	1.0	1.0	1.0	1.0	1.0	0.99999999392	0.999719473878	0.999921666713	16.2857142857	16.2857142857	0.0	0.125	1.0	0.0	0.0	0.0	1.02135549134	0.93685038718	1	0.0	0.0	0.0	0.0	8	1	2.0	0.285714285714	0.0	0.0	0.0	0.0	1.0	1.0
10533	-28.85727	-5.255051	-13.53233	-20.275	-2.746662	-2.746662	-18.35643	-4.975173	-13.45101	-28.02476	-29.90702	-39.28948	-17.38205	-6.533224	-12.8619	-25.46067	0.883001152304	0.941599118924	0.937811730406	0.876890290003	0.939397615993	0.935344310462	0.999098391289	0.996287300088	0.997985820331	7.42857142857	7.42857142857	0.0	0.333333333333	1.0	0.0	0.0	0.0	0.667813714697	0.702637790385	1	1.0	0.0	1.0	0.142857142857	7	0	2.0	0.285714285714	0.0	1.0	0.0	0.0	0.0	0.0
10534	-28.89274	-4.602593	-21.5941	-15.81015	-2.746662	-2.776625	-15.82142	-3.237451	-18.718	-23.35397	-23.64378	-34.62628	-13.0338	-3.063628	-15.6792	-21.21722	0.612987233831	0.761735137653	0.810252796009	0.590088020853	0.753276346471	0.80342613386	0.0	0.0	0.0	4.42857142857	4.42857142857	0.2	0.4	1.0	0.0	0.0	0.0	0.566703587481	0.585531491987	1	1.0	0.0	2.0	0.285714285714	7	0	4.0	0.571428571429	0.0	1.0	0.0	1.0	0.0	0.0
9246	-25.51478	-5.860125	-11.12669	-17.47528	-1.39794	-1.39794	-18.29517	-4.608873	-8.386642	-18.68318	-25.09042	-32.03436	-17.51649	-4.691297	-9.394338	-16.97378	0.856659585626	0.861815331029	0.879379036221	0.856659585626	0.861815331029	0.879379036221	0.669334784394	0.669334784394	0.669334784394	6.0	6.0	0.25	0.5	1.0	0.0	0.0	0.0	0.973081816101	0.3189983362	1	0.0	0.0	0.0	0.0	4	1	1.0	0.25	1.0	0.0	0.0	0.0	0.0	1.0
9354	-33.65737	-14.70451	-23.06262	-24.67386	-2.09691	-2.09691	-23.95458	-8.554347	-17.51165	-23.35397	-28.08806	-36.69756	-20.62726	-10.49847	-18.23431	-21.21722	1.0	1.0	1.0	1.0	1.0	1.0	0.996996398703	0.996996398703	0.996996398703	6.0	6.0	0.2	0.6	1.0	0.0	0.0	0.0	1.29413501209	0.39874792025	1	0.0	1.0	0.0	0.0	7	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
9355	-31.92423	-11.77775	-16.1421	-24.46569	-1.39794	-1.39794	-23.50999	-7.368923	-12.83758	-23.35397	-28.34617	-36.69756	-20.90714	-5.564508	-12.53109	-21.21722	0.701527512761	0.682488293243	0.761238743549	0.701527512761	0.682488293243	0.761238743549	0.144312165041	0.144312165041	0.144312165041	3.0	3.0	0.6	0.8	1.0	0.0	0.0	0.0	1.22688861162	0.39874792025	1	0.0	1.0	0.0	0.0	5	1	2.0	0.5	1.0	0.0	0.0	0.0	0.0	1.0
