Id	Prompt	Wavfile	RecResult
3570	Frag: Zimmer für 1 Woche	3570.wav	can i have a hotel room for one nights
3571	Frag: Zimmer für 1 Woche	3571.wav	i want a room for one week
3572	Frag: Twinzimmer	3572.wav	a twin room please
3573	Sag: Ich möchte mit Kreditkarte bezahlen	3573.wav	can i pay by credit card
3574	Frag: Gibt es ein Fitnessstudio?	3574.wav	have a fitness studio
3575	Frag: 3 Musical-Tickets	3575.wav	i would like  ***  for three musical ticket
3576	Sag: Ich möchte am Montagabend gehen	3576.wav	***   i'd like  ***  four for monday night
3577	Sag: Ich möchte am Montagabend gehen	3577.wav	i would like to  ***  for monday night
3579	Frag: 3 Tickets für König der Löwen	3579.wav	i have three tickets for the   ***  museum
3580	Sag: Ich möchte vorne sitzen	3580.wav	i would like  ***  ***  the fourth row 
3581	Sag: Ich möchte vorne sitzen	3581.wav	***   ***    ***  ***   a where is rome
3582	Sag: Ich möchte vorne sitzen	3582.wav	***    a room for my name is museum
3583	Frag: Tickets für die National Gallery	3583.wav	i would like tickets for the mastercard please
3584	Frag: Tickets für die National Gallery	3584.wav	i would like a   i would like to london eye for i    hotel bar
3587	Frag: ein Ticket zum Piccadilly Circus	3587.wav	i would like a ticket to the gym 
3588	Sag: Ich möchte mit Visa bezahlen	3588.wav	i would like  ***  ***   pay visa
3589	Sag: Ich möchte mit Visa bezahlen	3589.wav	i would like to pay  ***  visa
3590	Frag: ein Ticket zum Green Park	3590.wav	i need a ticket to green park
3592	Sag: Ich möchte mit Visa bezahlen	3592.wav	i would like to  ***   pay visa
3593	Sag: Ich möchte mit Pfund bezahlen	3593.wav	can i pay by card
3594	Sag: Ich möchte mit Pfund bezahlen	3594.wav	can i pay by card
3595	Sag: Ich möchte mit Pfund bezahlen	3595.wav	pay a i'd like pommes
3596	Frag: ein Ticket nach Notting Hill	3596.wav	i would like a ticket to notting   ***
3597	Sag: Ich möchte mit Mastercard bezahlen	3597.wav	can i   am a pay by mastercard
3598	Sag: Ich möchte mit Mastercard bezahlen	3598.wav	can i pay by    ***   mastercard
3599	Sag: Ich möchte mit Dollars bezahlen	3599.wav	can i buy by post 
3602	Frag: eine Cola	3602.wav	i would like a hotel
3604	Frag: ein Steak	3604.wav	i want to pay 
3605	Frag: mein Steak rare	3605.wav	 ***  my steak rare
3606	Frag: mein Steak rare	3606.wav	i would like my steak rare
3608	Frag: Pilze	3608.wav	i would like please
3610	Frag: Ich möchte die Dessertkarte	3610.wav	 no i have you the gym
3611	Sag: Mir geht es gut	3611.wav	***   a small
3618	Frag: 2 Tickets nach London	3618.wav	the ticket to london
3619	Frag: 2 Tickets nach London	3619.wav	two tickets to london
3620	Sag: Ich möchte um 21 Uhr morgen abreisen	3620.wav	i want to leave at my passport tomorrow
3621	Sag: Ich heisse James	3621.wav	i am a  
3622	Sag: Ich bin aus der Türkei	3622.wav	i am from turkey
3623	Frag: 2 Musical-Tickets	3623.wav	two like tickets please
3625	Frag: ein Ticket für Montagabend	3625.wav	 ticket for  ***  monday you 
3626	Frag: ein Ticket für Montagabend	3626.wav	tickets for  ***  monday you 
3627	Frag: 2 Tickets für König der Löwen	3627.wav	two tickets for   ***  two tickets
3628	Frag: 2 Tickets für König der Löwen	3628.wav	two tickets for  ***  king
3629	Frag: 2 Tickets für König der Löwen	3629.wav	two tickets for  ***  king of lion
3630	Sag: Ich möchte in der zweiten Reihe sitzen	3630.wav	i would like to sit in
3631	Sag: Ich möchte in der zweiten Reihe sitzen	3631.wav	i would sit in the
3632	Sag: Ich möchte in der zweiten Reihe sitzen	3632.wav	i would like to sit in the sixth row
3634	Frag: 5 Tickets	3634.wav	  i ticket please
3636	Frag: Einzelzimmer	3636.wav	a single room
3637	Frag: Einzelzimmer	3637.wav	have a    room
3638	Frag: Einzelzimmer	3638.wav	a single room please
3639	Sag: Ich möchte mit Postkarte bezahlen	3639.wav	i want to pay with my post card
3640	Sag: Ich möchte mit Postkarte bezahlen	3640.wav	i would like to pay with by post card
3641	Sag: Ich möchte mit Postkarte bezahlen	3641.wav	i would like to pay with
3642	Frag: Gibt es eine Hotelbar?	3642.wav	this is there the hotel bar
3643	Sag: Ich heisse Nick	3643.wav	my name is nick
3644	Sag: Ich bin aus Österreich	3644.wav	i am from austria
3645	Sag: Die Hauptstadt von Österreich ist Wien	3645.wav	***  capital of austria is please
3647	Sag: Ich habe 1 Bruder	3647.wav	i have a brothers
3648	Sag: Ich habe 1 Bruder	3648.wav	i have a brown boots 
3649	Sag: Ich habe 1 Bruder	3649.wav	i have one brother
3650	Sag: Ich gehe in die Ferien	3650.wav	i   ***   go into holiday
3651	Sag: Dies ist mein Pass	3651.wav	this is my passport
3652	Sag: Dies ist mein Pass	3652.wav	 ***  is my pass
3654	Frag: ein Ticket zum Piccadilly Circus	3654.wav	a ticket from piccadilly circus
3655	Frag: ein Ticket zum Piccadilly Circus	3655.wav	like a ticket to piccadilly circus
3656	Frag: ein Ticket zum Piccadilly Circus	3656.wav	i would like a ticket to piccadilly circus
3657	Sag: Ich möchte mit Mastercard bezahlen	3657.wav	i would like to pay with my    ***   mastercard
3658	Frag: 4 Musical-Tickets	3658.wav	four musical tickets please
3659	Frag: 4 Musical-Tickets	3659.wav	four musical tickets
3660	Frag: 4 Musical-Tickets	3660.wav	i would like to buy four musical tickets
3661	Sag: Ich möchte am Freitagabend gehen	3661.wav	i want go on free day am  
3662	Sag: Ich möchte am Freitagabend gehen	3662.wav	i would like to go at friday   *** 
3663	Sag: Ich möchte am Freitagabend gehen	3663.wav	i would like to go on free day nights
3664	Frag: 4 Tickets für Wicked	3664.wav	i would like four tickets for  ***   week 
3665	Frag: 4 Tickets für Wicked	3665.wav	i want four tickets for wicked
3666	Sag: Ich möchte in der achten Reihe sitzen	3666.wav	***  the eighth row
3667	Sag: Ich möchte in der achten Reihe sitzen	3667.wav	i want to sit in the eighth row
3668	Sag: Ich möchte in der achten Reihe sitzen	3668.wav	i want sit in the eighth row
3669	Frag: Tickets für das Naturhistorische Museum	3669.wav	i want tickets for the natural history museum    *** 
3670	Frag: 2 Tickets	3670.wav	i want two tickets please
3671	Sag: Ich habe keine Reservation	3671.wav	no i pay is there a reservation
3673	Sag: Ich habe keine Reservation	3673.wav	no i do not have a reservation
3674	Frag: Zimmer für 6 Nächte	3674.wav	can i have six room for six nights
3675	Frag: Zimmer für 6 Nächte	3675.wav	i want a room for six nights
3676	Frag: Doppelzimmer	3676.wav	i want a   a double room
3679	Frag: Gibt es ein Schwimmbad?	3679.wav	have you have a pool
3680	Frag: Wo ist das Schwimmbad?	3680.wav	where is the pool
3681	Frag: Zimmer für 4 Nächte	3681.wav	i want a room for four nights
3682	Frag: Doppelzimmer	3682.wav	i want a double room
3683	Sag: Ich möchte mit Visa bezahlen	3683.wav	can i pay with visa
3684	Frag: Gibt es ein Hotelrestaurant?	3684.wav	is there a hotel restaurant
3685	Frag: Wo ist das Hotelrestaurant?	3685.wav	where is the hotel restaurant
3686	Sag: Ich möchte mit Visa bezahlen	3686.wav	can i pay with visa
3688	Sag: Ich möchte mit Schweizer Franken bezahlen	3688.wav	can i pay with swiss francs
3689	Sag: Ich habe keine Reservation	3689.wav	***  ***  do not have a reservation
3690	Frag: Zimmer für 7 Nächte	3690.wav	i want a room for seven nights
3691	Frag: Junior Suite	3691.wav	 i want a   junior suite
3692	Sag: Ich möchte mit Mastercard bezahlen	3692.wav	can i pay by mastercard
3693	Frag: Gibt es einen Coiffeur?	3693.wav	***   ***   the hairdresser
3694	Frag: Wo ist der Coiffeur?	3694.wav	where is the hairdresser
3695	Frag: 3 Tickets nach London	3695.wav	i would like   ***   tickets to london
3696	Sag: Ich möchte am Mittwochabend abreisen	3696.wav	i want to leave on wednesday evening
3697	Sag: Ich heisse Sarah	3697.wav	my name is sarah
3698	Sag: Ich heisse Sarah	3698.wav	my name is there
3700	Frag: ein Ticket nach London	3700.wav	i want a ticket to london
3701	Sag: Ich möchte am Sonntag abreisen	3701.wav	i would like to leave on sunday
3702	Sag: Ich heisse John	3702.wav	my name is john
3703	Sag: Ich bin aus Spanien	3703.wav	***  i'm from spain
3704	Sag: Ich heisse Brian	3704.wav	my name is brian
3705	Sag: Ich bin aus Amerika	3705.wav	i'm from america
3706	Sag: Ich heisse Silvia	3706.wav	my name is silvia
3707	Sag: Ich bin aus Portugal	3707.wav	i am from portugal
3708	Sag: Die Hauptstadt von Portugal ist Lissabon	3708.wav	***  capital of portugal is lisbon
3709	Sag: Ich habe 2 jüngere Brüder	3709.wav	i have two younger brothers
3710	Sag: Ich gehe in die Ferien	3710.wav	i go into holiday
3712	Sag: Dies ist mein Pass	3712.wav	where is my passport
3713	Sag: Dies ist mein Pass	3713.wav	 that is like post card  
3714	Sag: Dies ist mein Pass	3714.wav	 ***  is my passport
3716	Sag: Ich möchte mit Postkarte bezahlen	3716.wav	i want pay
3717	Sag: Ich möchte mit Postkarte bezahlen	3717.wav	i would like to pay by post card
3718	Sag: Ich möchte mit Postkarte bezahlen	3718.wav	i would like to pay by post card
3719	Frag: 2 Musical-Tickets	3719.wav	i want two musical tickets
3720	Frag: 2 Tickets für Montagabend	3720.wav	i want  ***  tickets for monday evening
3723	Frag: Zimmer für 2 Nächte	3723.wav	a room for two nights
3724	Frag: Zimmer für 2 Nächte	3724.wav	can i have a room for two nights
3725	Frag: Einzelzimmer	3725.wav	***  single room
3726	Frag: Einzelzimmer	3726.wav	single room
3727	Frag: Einzelzimmer	3727.wav	single room
3728	Sag: Ich möchte mit Kreditkarte bezahlen	3728.wav	my
3730	Frag: Gibt es einen Lift?	3730.wav	***  tickets for wicked
3731	Frag: Wo ist der Lift?	3731.wav	where is the lift
3735	Sag: Ich möchte mit Dollars bezahlen	3735.wav	can i pay with dollars
3736	Frag: Zimmer für 3 Nächte	3736.wav	i want a room for three nights
3737	Frag: Einzelzimmer	3737.wav	i want a single room
3738	Sag: Ich möchte mit Postkarte bezahlen	3738.wav	i want to pay with credit card
3740	Frag: Gibt es ein Fitnessstudio?	3740.wav	have you got a fitness studio
3741	Frag: Gibt es ein Fitnessstudio?	3741.wav	is there a gym
3742	Frag: Wo ist das Fitnessstudio?	3742.wav	where is the gym
3743	Frag: ein Ticket nach London	3743.wav	i want a ticket to london
3744	Sag: Ich möchte um 12 Uhr morgen abreisen	3744.wav	i want to leave tomorrow at euros
3745	Sag: Ich heisse Mona	3745.wav	my name is mona
3746	Sag: Ich bin aus Deutschland	3746.wav	***  i'm from germany
3749	Frag: ein Steak	3749.wav	 a twin room please a    ***   the
3750	Frag: ein Steak	3750.wav	***   ***    i'm junior suite
3751	Frag: ein Steak	3751.wav	***  please
3757	Frag: Wo ist der Tower?	3757.wav	where  ***  ***   ***  nights
3759	Frag: Welcher Bus fährt dorthin?	3759.wav	twiss twin room there
3761	Frag: Zimmer für 6 Nächte	3761.wav	a double room for two room 
3762	Frag: Zimmer für 6 Nächte	3762.wav	a double room for six nights
3763	Frag: Zimmer für 6 Nächte	3763.wav	i want a room for seven nights
