Id	Prompt	Wavfile
39535	Frag: Gibt es einen Coiffeur?	39535.wav
39538	Sag: Ich heisse Barbara	39538.wav
39539	Frag: 3 Tickets nach London	39539.wav
39540	Sag: Ich möchte um 14 Uhr morgen abreisen	39540.wav
39541	Sag: Ich heisse Mona	39541.wav
39547	Sag: Ich gehe in die Ferien	39547.wav
39549	Sag: Dies ist mein Pass	39549.wav
39550	Sag: Die Hauptstadt von Spanien ist Madrid	39550.wav
39551	Sag: Ich gehe in die Ferien	39551.wav
39555	Sag: Ich möchte mit Pfund bezahlen	39555.wav
39556	Frag: 1 Musical-Ticket	39556.wav
39559	Frag: den Sonntagsbraten	39559.wav
39561	Frag: Wo ist der Zoo?	39561.wav
39562	Frag: Wo ist Piccadilly Circus?	39562.wav
39563	Frag: Welcher Bus fährt dorthin?	39563.wav
39566	Frag: Stiefel	39566.wav
39567	Frag: rote Stiefel	39567.wav
39570	Frag: eine L	39570.wav
39572	Frag: Zimmer für 2 Nächte	39572.wav
39573	Sag: Ich möchte mit Kreditkarte bezahlen	39573.wav
39574	Frag: Einzelzimmer	39574.wav
39580	Frag: einen Hamburger	39580.wav
39583	Sag: Ich habe keine Reservation	39583.wav
39585	Sag: Ich habe keine Reservation	39585.wav
39586	Frag: Zimmer für 1 Woche	39586.wav
39588	Frag: 6 Tickets nach London	39588.wav
39590	Sag: Ich möchte um 8 Uhr morgen abreisen	39590.wav
39591	Sag: Ich heisse Erica	39591.wav
39596	Frag: Junior Suite	39596.wav
39597	Sag: Ich möchte mit Schweizer Franken bezahlen	39597.wav
39601	Frag: Gibt es ein Schwimmbad?	39601.wav
39605	Sag: Ich möchte mit Postkarte bezahlen	39605.wav
39609	Frag: Twinzimmer	39609.wav
39610	Sag: Ich möchte mit Kreditkarte bezahlen	39610.wav
39611	Frag: Wo ist das Hotelrestaurant?	39611.wav
39620	Sag: Ich habe keine Reservation	39620.wav
39624	Sag: Ich habe keine Reservation	39624.wav
39627	Sag: Ich heisse John	39627.wav
39628	Sag: Ich habe keine Reservation	39628.wav
39629	Frag: Zimmer für 5 Nächte	39629.wav
39630	Sag: Ich möchte mit Visa bezahlen	39630.wav
39632	Frag: Junior Suite	39632.wav
39634	Frag: Gibt es eine Hotelbar?	39634.wav
39635	Sag: Mein Zimmer ist dreckig	39635.wav
39636	Frag: einen Orangensaft	39636.wav
39639	Frag: Apfelkuchen	39639.wav
39641	Frag: Apfelkuchen	39641.wav
39642	Sag: Ich möchte mit Visa bezahlen	39642.wav
39648	Frag: Wie viel kostet es?	39648.wav
39649	Sag: Die Jeans ist zu teuer	39649.wav
39650	Frag: 2 Musical-Tickets	39650.wav
39652	Frag: ein Ticket für Mittwochabend	39652.wav
39655	Sag: Ich möchte in der fünften Reihe sitzen	39655.wav
39657	Frag: 2 Tickets	39657.wav
39658	Frag: Wo ist Piccadilly Circus?	39658.wav
39664	Sag: Ich möchte mit Mastercard bezahlen	39664.wav
39666	Frag: Twinzimmer	39666.wav
39667	Sag: Ich möchte mit Kreditkarte bezahlen	39667.wav
39671	Sag: Ich möchte mit Postkarte bezahlen	39671.wav
39672	Sag: Ich möchte mit Dollars bezahlen	39672.wav
39675	Frag: Zimmer für 4 Nächte	39675.wav
39677	Sag: Ich möchte mit Mastercard bezahlen	39677.wav
39678	Frag: Gibt es ein Fitnessstudio?	39678.wav
39682	Frag: 4 Tickets für Starlight Express	39682.wav
39684	Frag: ein Ticket nach Westminster	39684.wav
39687	Sag: Ich möchte mit Postkarte bezahlen	39687.wav
39690	Sag: Ich möchte mit Kreditkarte bezahlen	39690.wav
39694	Frag: ein Ticket zum Piccadilly Circus	39694.wav
39695	Frag: ein Ticket zum Piccadilly Circus	39695.wav
39701	Sag: Ich heisse Silvia	39701.wav
39702	Sag: Die Hauptstadt von Frankreich ist Paris	39702.wav
39703	Sag: Ich gehe in die Ferien	39703.wav
39704	Sag: Ich gehe in die Ferien	39704.wav
39707	Frag: Einzelzimmer	39707.wav
39708	Frag: Gibt es ein Hotelrestaurant?	39708.wav
39709	Sag: Ich habe keine Reservation	39709.wav
39710	Sag: Ich habe keine Reservation	39710.wav
39714	Frag: Zimmer für 1 Woche	39714.wav
39718	Frag: Haarföhn	39718.wav
39719	Frag: Zimmer für 4 Nächte	39719.wav
39720	Frag: Doppelzimmer	39720.wav
39721	Frag: Gibt es einen Coiffeur?	39721.wav
39722	Frag: Zimmer für 2 Nächte	39722.wav
39726	Sag: Ich bin aus der Türkei	39726.wav
39727	Sag: Ich habe 3 ältere Schwestern	39727.wav
39728	Sag: Ich habe 3 ältere Schwestern	39728.wav
39729	Sag: Ich gehe in die Ferien	39729.wav
39732	Sag: Ich bin aus Irland	39732.wav
39740	Sag: Ich bin aus Österreich	39740.wav
39741	Sag: Ich habe 3 ältere Brüder	39741.wav
39742	Sag: Ich gehe in die Ferien	39742.wav
39744	Frag: Zimmer für 1 Woche	39744.wav
