"Id"	"Prompt"	"Wavfile"	"RecResult"	"Transcription"	"language"	"meaning"	"Trace"
"1"	"Frag: Zimmer für 3 Nächte"	"user-8_2014-05-11_17-57-14_utt_007.wav"	""	"*silence"	"incorrect"	"incorrect"	"M: 0-4 H: 0-1"
"2"	"Frag: Zimmer für 3 Nächte"	"user-8_2014-05-11_17-57-14_utt_008.wav"	""	"*silence"	"incorrect"	"incorrect"	"M: 0-4 H: 0-1"
"3"	"Frag: Zimmer für 3 Nächte"	"user-8_2014-05-11_17-57-14_utt_009.wav"	""	"*silence"	"incorrect"	"incorrect"	"M: 0-4 H: 0-1"
"4"	"Frag: Einzelzimmer"	"user-8_2014-05-11_17-57-14_utt_011.wav"	"single room"	"single room"	"correct"	"correct"	"M: 4-0 H: 0-0"
"5"	"Frag: Einzelzimmer"	"user-8_2014-05-11_17-57-14_utt_012.wav"	""	"*silence"	"incorrect"	"incorrect"	"M: 0-4 H: 0-3"
"6"	"Frag: Einzelzimmer"	"user-8_2014-05-11_17-57-14_utt_013.wav"	""	"*silence"	"incorrect"	"incorrect"	"M: 0-4 H: 0-1"
"7"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"user-8_2014-05-11_17-57-14_utt_015.wav"	"the five can i pay by credit card"	"ich*v möchte*v mit*v kreditkarte*v bezahlen*v ggg can i pay by credit card"	"correct"	"correct"	"M: 3-1 H: 3-0"
"8"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"user-8_2014-05-11_17-57-14_utt_016.wav"	""	"*silence"	"incorrect"	"incorrect"	"M: 0-4 H: 0-1"
"9"	"Frag: Zimmer für 1 Woche"	"user-265_2014-11-25_07-51-15_utt_010.wav"	""	"*silence"	"incorrect"	"incorrect"	"M: 0-4 H: 0-3"
"11"	"Frag: Zimmer für 1 Woche"	"user-265_2014-11-25_07-51-15_utt_012.wav"	""	"*silence"	"incorrect"	"incorrect"	"M: 0-4 H: 0-1"
"13"	"Sag: Ich heisse Nick"	"user-265_2014-12-10_07-00-41_utt_003.wav"	"my name is nick"	"my name is nick"	"correct"	"correct"	"M: 4-0 H: 0-0"
"14"	"Sag: Ich bin aus Kanada"	"user-265_2014-12-10_07-00-41_utt_004.wav"	"i am from scotland"	"i am from canada"	"correct"	"correct"	"M: 4-0 H: 0-0"
"15"	"Sag: Ich heisse Stephanie"	"user-265_2014-12-10_07-00-41_utt_006.wav"	"my name is stephanie"	"my name is stephanie"	"correct"	"correct"	"M: 4-0 H: 0-0"
"17"	"Sag: Ich bin aus Österreich"	"user-265_2014-12-10_07-00-41_utt_008.wav"	"i am from poster austria"	"i am from austria austria"	"correct"	"correct"	"M: 4-0 H: 0-0"
"19"	"Frag: ein Ticket zum Trafalgar Square"	"user-265_2014-12-10_07-00-41_utt_011.wav"	"i need a ticket to trafalgar square"	"i need a ticket to trafalgar square"	"correct"	"correct"	"M: 4-0 H: 0-0"
"20"	"Sag: Ich möchte mit Visa bezahlen"	"user-265_2014-12-10_07-00-41_utt_012.wav"	"i want i want which visa six nights"	"i want i want which visas buy"	"incorrect"	"incorrect"	"M: 0-4 H: 0-1"
"21"	"Sag: Ich möchte mit Visa bezahlen"	"user-265_2014-12-10_07-00-41_utt_013.wav"	"i want bridge i want to leave africa"	"i want which pi i want to play ah fu*a"	"incorrect"	"incorrect"	"M: 0-4 H: 0-3"
"22"	"Sag: Ich möchte mit Visa bezahlen"	"user-265_2014-12-10_07-00-41_utt_014.wav"	"i want swiss visa pay"	"i want which visa pay"	"incorrect"	"incorrect"	"M: 0-4 H: 0-1"
"24"	"Sag: Ich habe keine Reservation"	"user-265_2014-12-17_06-47-14_utt_003.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"	"M: 4-0 H: 0-0"
"25"	"Sag: Ich habe keine Reservation"	"user-265_2014-12-17_06-47-14_utt_004.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"	"M: 4-0 H: 0-0"
"26"	"Sag: Ich habe keine Reservation"	"user-265_2014-12-17_06-47-14_utt_005.wav"	"i don't have a reservation"	"i don't have a reservation"	"correct"	"correct"	"M: 4-0 H: 0-0"
