"Id"	"Prompt"	"Wavfile"	"RecResult"	"Transcription"	"language"	"meaning"	"Trace"
"10"	"Frag: Zimmer für 1 Woche"	"user-265_2014-11-25_07-51-15_utt_011.wav"	"i want a a row post by week"	"i want a room for five weeks"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"12"	"Sag: Ich heisse Nick"	"user-265_2014-12-10_07-00-41_utt_002.wav"	"is it"	"ich*v heisse*v nick*v"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"16"	"Sag: Ich bin aus Österreich"	"user-265_2014-12-10_07-00-41_utt_007.wav"	"i am from is thomas"	"i am from öster*a"	"incorrect"	"incorrect"	"M: 3-1 H: 0-3"
"18"	"Frag: ein Ticket zum Trafalgar Square"	"user-265_2014-12-10_07-00-41_utt_010.wav"	"can nights cake nights for trafalgar store"	"can i take a ticket for trafalgar square"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"23"	"Sag: Ich habe keine Reservation"	"user-265_2014-12-17_06-47-14_utt_002.wav"	"i don't have a reservation"	"i don't have reservation"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"47"	"Sag: Ich habe keine Reservation"	"user-260_2014-12-10_06-56-11_utt_004.wav"	"lisbon"	"i have no reserv*a"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"50"	"Sag: Ich habe keine Reservation"	"user-260_2014-12-10_06-56-11_utt_007.wav"	"i will have the"	"i have no*a"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"57"	"Sag: Dies ist mein Pass"	"user-260_2014-12-10_06-56-11_utt_015.wav"	"there is my passport"	"there is my passport"	"incorrect"	"correct"	"M: 3-1 H: 0-3"
"65"	"Sag: Ich möchte mit Euros bezahlen"	"user-260_2014-12-10_06-56-11_utt_025.wav"	"i pool buy"	"i would*z like"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"66"	"Frag: Zimmer für 5 Nächte"	"user-260_2014-12-17_06-50-54_utt_005.wav"	"one ticket for five nights please"	"one zimmer*v for five nights please"	"incorrect"	"incorrect"	"M: 2-2 H: 0-3"
"75"	"Frag: einen Kaffee"	"user-260_2014-12-17_06-50-54_utt_018.wav"	"i would like the one coffee please"	"i would like a one coffee plea*a"	"correct"	"correct"	"M: 2-2 H: 3-0"
"87"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"user-283_2014-11-27_06-44-07_utt_010.wav"	"can i pay with credit card"	"can i pay it with credit card"	"incorrect"	"correct"	"M: 2-2 H: 0-3"
"116"	"Sag: Ich heisse Paolo"	"user-283_2014-12-16_08-28-54_utt_027.wav"	"my name is paula paolo"	"my name is paola paolo"	"correct"	"correct"	"M: 2-2 H: 3-0"
