"Id"	"Prompt"	"Wavfile"	"RecResult"	"Transcription"	"language"	"meaning"	"Trace"
"27"	"Sag: Ich habe keine Reservation"	"user-265_2014-12-17_06-47-14_utt_006.wav"	"i don't have a reservation for liz water a room for one younger one forty room is vis to three good lisbon for seven nights"	"i don't have a reservation -xxx"	"correct"	"correct"	"M: 3-1 H: 2-1"
"58"	"Frag: ein Ticket nach Notting Hill"	"user-260_2014-12-10_06-56-11_utt_018.wav"	"a ticket to notting hill"	"a ticket to nothing hill"	"incorrect"	"correct"	"M: 1-3 H: 1-2"
"59"	"Frag: ein Ticket nach Notting Hill"	"user-260_2014-12-10_06-56-11_utt_019.wav"	"a ticket to notting hill"	"a ticket to nothing hill"	"incorrect"	"correct"	"M: 1-3 H: 1-2"
"62"	"Sag: Ich möchte mit Visa bezahlen"	"user-260_2014-12-10_06-56-11_utt_022.wav"	"i would like to pay with visa"	"i would to like to pay with visa"	"incorrect"	"correct"	"M: 2-2 H: 1-2"
"111"	"Sag: Ich möchte um 14 Uhr morgen abreisen"	"user-283_2014-12-16_08-28-54_utt_020.wav"	"i want to leave at two o'clock"	"i want to leave at two o'clock"	"incorrect"	"incorrect"	"M: 1-3 H: 1-2"
"125"	"Sag: Ich habe keine Reservation"	"user-278_2014-12-16_08-25-57_utt_017.wav"	"i don't have any reservation i don't have any reservation"	"i don't have any reservation i don't have any reservation"	"correct"	"correct"	"M: 3-1 H: 2-1"
"152"	"Frag: 5 Tickets nach London"	"user-270_2014-12-16_16-54-48_utt_004.wav"	"i would like five tickets to london"	"i would five tickets to london"	"incorrect"	"correct"	"M: 2-2 H: 1-2"
"167"	"Frag: ein Ticket für Donnerstagabend"	"user-270_2014-12-16_16-54-48_utt_026.wav"	"i would like tickets for tuesday night"	"i would like tickets for tuesday night"	"incorrect"	"incorrect"	"M: 3-1 H: 1-2"
"175"	"Frag: ein Steak"	"user-270_2014-12-16_16-54-48_utt_037.wav"	"i would like a steak"	"i would like a steak*z"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"176"	"Frag: mein Steak blau"	"user-270_2014-12-16_16-54-48_utt_038.wav"	"i would like my any my steak blue"	"i would like me my steak*z blue"	"correct"	"correct"	"M: 3-1 H: 2-1"
"177"	"Frag: mein Steak blau"	"user-270_2014-12-16_16-54-48_utt_039.wav"	"i would like my steak blue"	"i would like my steak*z blue"	"correct"	"correct"	"M: 2-2 H: 2-1"
"216"	"Frag: Zimmer für 7 Nächte"	"user-280_2014-11-27_06-57-09_utt_003.wav"	"for seven nights"	"for seven nights"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"233"	"Frag: Zimmer für 7 Nächte"	"user-280_2014-12-16_08-38-33_utt_005.wav"	"i have a room for seven nights red euro"	"i would have a room for seven nights -xxx"	"incorrect"	"correct"	"M: 2-2 H: 1-2"
"284"	"Frag: eine L"	"user-281_2014-12-09_15-31-48_utt_076.wav"	"big"	"big"	"incorrect"	"correct"	"M: 2-2 H: 1-2"
"297"	"Frag: Zimmer für 5 Nächte"	"user-289_2014-11-27_06-45-36_utt_003.wav"	"room for five nights"	"room for five nights"	"correct"	"correct"	"M: 3-1 H: 2-1"
"346"	"Sag: Ich möchte mit Euros bezahlen"	"user-282_2014-12-16_08-27-04_utt_009.wav"	"i want pay with euros"	"i wanna pay with euros"	"correct"	"correct"	"M: 2-2 H: 2-1"
"350"	"Frag: Stiefel"	"user-282_2014-12-16_08-27-04_utt_017.wav"	"i want an orange juice"	"i wanna buy some boots"	"correct"	"correct"	"M: 2-2 H: 2-1"
"351"	"Frag: braune Stiefel"	"user-282_2014-12-16_08-27-04_utt_018.wav"	"i want a room for"	"i wanna have brown boots"	"correct"	"correct"	"M: 2-2 H: 2-1"
"358"	"Frag: Himbeersorbet"	"user-23_2014-11-03_09-47-09_utt_015.wav"	"i would lion cake silvia with raspberry"	"i would like the sorbet with raspberry"	"incorrect"	"correct"	"M: 1-3 H: 1-2"
"365"	"Sag: Ich habe keine Reservation"	"user-32_2014-10-29_14-32-01_utt_002.wav"	"i have row roast reservation"	"i haven't reser*a reservation"	"incorrect"	"correct"	"M: 1-3 H: 1-2"
"370"	"Sag: Ich möchte mit Mastercard bezahlen"	"user-32_2014-10-29_14-32-01_utt_007.wav"	"can i pay with mastercard"	"can i pay by*z mastercard"	"correct"	"correct"	"M: 3-1 H: 2-1"
"383"	"Sag: Ich möchte mit Mastercard bezahlen"	"user-45_2014-10-29_13-11-30_utt_014.wav"	"i want to pay with mastercard"	"i would to pay with mastercard"	"correct"	"correct"	"M: 1-3 H: 2-1"
"389"	"Sag: Ich möchte mit Dollars bezahlen"	"user-45_2014-10-29_13-11-30_utt_022.wav"	"i want pay with dollars"	"i will pay with dollars"	"incorrect"	"correct"	"M: 2-2 H: 1-2"
"392"	"Frag: Sandalen"	"user-45_2014-10-29_13-11-30_utt_029.wav"	"i would like the bill"	"i would like the sandals"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"399"	"Sag: Ich habe keine Reservation"	"user-45_2014-11-05_12-33-21_utt_003.wav"	"no i haven't got a reservation"	"no i haven't a reservation"	"incorrect"	"correct"	"M: 1-3 H: 1-2"
"415"	"Sag: Ich habe keine Reservation"	"user-45_2014-11-05_12-33-21_utt_027.wav"	"no i haven't got a reservation"	"no i haven't a reservation"	"incorrect"	"correct"	"M: 1-3 H: 1-2"
"451"	"Sag: Im Zimmer hat es kein Duschgel"	"user-45_2014-11-05_12-58-17_utt_036.wav"	"there isn't samuel in the room"	"there isn't shower gel*z in the room"	"incorrect"	"correct"	"M: 1-3 H: 1-2"
"478"	"Sag: Ich habe kleinere Note"	"user-45_2014-11-05_12-58-17_utt_075.wav"	"i have no room"	"i have no -xxx- notes"	"incorrect"	"incorrect"	"M: 3-1 H: 1-2"
"491"	"Frag: ein Ticket zum Trafalgar Square"	"user-45_2014-11-05_12-58-17_utt_096.wav"	"i'd like two musical tickets booster water please"	"i'd like a ticke*a ticket to the trafalgar*z square*z"	"incorrect"	"correct"	"M: 1-3 H: 1-2"
"506"	"Frag: Tickets für das London Eye"	"user-45_2014-11-05_12-58-17_utt_115.wav"	"i'd like a ticket for the london eye"	"i'd like a ticket for the london eye"	"correct"	"correct"	"M: 3-1 H: 2-1"
"517"	"Frag: eine L"	"user-45_2014-11-05_12-58-17_utt_129.wav"	"jeans"	"big"	"incorrect"	"correct"	"M: 2-2 H: 1-2"
"518"	"Frag: eine L"	"user-45_2014-11-05_12-58-17_utt_130.wav"	"i am a water"	"i am a larger"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"519"	"Frag: eine L"	"user-45_2014-11-05_12-58-17_utt_131.wav"	"i want water"	"i am a larger"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"542"	"Sag: Ich bin aus Österreich"	"user-45_2014-11-06_19-16-32_utt_028.wav"	"i'm from australia"	"i'm from australia"	"incorrect"	"incorrect"	"M: 3-1 H: 1-2"
"547"	"Sag: Ich heisse Sarah"	"user-45_2014-11-06_19-16-32_utt_035.wav"	"my name is barbara"	"my name is sarah*z"	"incorrect"	"incorrect"	"M: 3-1 H: 1-2"
"548"	"Sag: Ich heisse Sarah"	"user-45_2014-11-06_19-16-32_utt_036.wav"	"my name is barbara"	"my name is sarah*z"	"incorrect"	"incorrect"	"M: 3-1 H: 1-2"
"579"	"Sag: Ich heisse Sarah"	"user-45_2014-11-06_19-16-32_utt_089.wav"	"my name is barbara"	"my name is sarah*z"	"incorrect"	"incorrect"	"M: 3-1 H: 1-2"
"610"	"Frag: ein Steak"	"user-45_2014-11-08_19-38-17_utt_021.wav"	"i'd like a suite"	"i'd like the steak*z"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"612"	"Frag: ein Steak"	"user-45_2014-11-08_19-38-17_utt_023.wav"	"i want a suite"	"i want a steak*z"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"627"	"Frag: Rhabarberkuchen"	"user-45_2014-11-08_19-38-17_utt_042.wav"	"i would like brown pants"	"i would like the rhabarber*v pie"	"incorrect"	"correct"	"M: 2-2 H: 1-2"
"653"	"Frag: Hosen"	"user-45_2014-11-08_19-38-17_utt_080.wav"	"i would like some jeans"	"i'd like some jeans"	"incorrect"	"correct"	"M: 1-3 H: 1-2"
"666"	"Frag: Jeans"	"user-45_2014-11-08_19-38-17_utt_096.wav"	"i would like sandals"	"i'd like trousers"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"724"	"Frag: Pommes Frittes"	"user-45_2014-11-09_11-28-41_utt_029.wav"	"i want french fries"	"i want french fries"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"725"	"Frag: Pommes Frittes"	"user-45_2014-11-09_11-28-41_utt_030.wav"	"i want french fries"	"i want french fries"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"755"	"Frag: Bohnen"	"user-45_2014-11-09_11-28-41_utt_069.wav"	"i'd like the jeans"	"i'd like the beans"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"761"	"Frag: Wo ist die Tate Modern?"	"user-45_2014-11-09_11-28-41_utt_079.wav"	"where is the tate modern"	"where is tate modern"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
"771"	"Sag: Ich muss gehen"	"user-45_2014-11-09_11-28-41_utt_093.wav"	"i want to go"	"i want to go"	"incorrect"	"incorrect"	"M: 4-0 H: 0-3"
"794"	"Sag: Ich möchte mit Visa bezahlen"	"user-45_2014-11-19_11-17-56_utt_050.wav"	"i like to pay by visa"	"like to pay by visa"	"correct"	"correct"	"M: 3-1 H: 2-1"
"795"	"Frag: Gibt es einen Lebensmittelladen?"	"user-45_2014-11-19_11-17-56_utt_051.wav"	"is there a grocery store"	"is there a grocery story"	"incorrect"	"correct"	"M: 2-2 H: 1-2"
"806"	"Sag: Im Zimmer hat es keinen Haarföhn"	"user-45_2014-11-19_11-17-56_utt_073.wav"	"in the room there a no hairdryer"	"in the room there was no hairdryer"	"correct"	"correct"	"M: 1-3 H: 2-1"
"816"	"Sag: Im Zimmer hat es kein Duschgel"	"user-45_2014-11-19_11-17-56_utt_088.wav"	"the tower is near room"	"there isn't shower gel*z in the room"	"correct"	"correct"	"M: 1-3 H: 2-1"
"817"	"Sag: Im Zimmer hat es kein Duschgel"	"user-45_2014-11-19_11-17-56_utt_089.wav"	"where is the tower is in the room"	"there isn't shower gel*z in the room"	"correct"	"correct"	"M: 1-3 H: 2-1"
"822"	"Sag: Ich möchte mit Mastercard bezahlen"	"user-45_2014-11-19_11-50-52_utt_009.wav"	"i will pay by mastercard"	"i will pay by mastercard"	"incorrect"	"correct"	"M: 3-1 H: 1-2"
